"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Example #1.2","","2026-04-13","passed","2026-04-13","","","",""
"","40","Example #1.3","","2026-04-13","passed","2026-04-13","","","",""
"","4","Успешный запрос: фильм 18+, зрителю 25 лет — разрешено","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testAllowedAdultViewer"
"","4","Фильм 16+, зрителю 14 лет с сопровождающим запрещено","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testDeniedUnderageEvenWithAccompanyingFor16Plus"
"","11999","Несуществующий ID фильма → ошибка (бэкенд)","chromium","2026-04-13","passed","2026-04-13","Проверка возрастного ценза > Негативные сценарии","age-verification.spec.cjs","",""
"","5","Некорректный возраст (null) — запрещено","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testNullAge_ShouldDeny"
"","4","Граничные значения возраста без сопровождающего [10] age = ""100"", movieId = ""tt010"", accompanying = ""false"", expected = ""разрешено""","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testBoundaryValues"
"","7","Граничные значения возраста без сопровождающего [9] age = ""18"", movieId = ""tt009"", accompanying = ""false"", expected = ""разрешено""","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testBoundaryValues"
"","4","Граничные значения возраста без сопровождающего [5] age = ""12"", movieId = ""tt005"", accompanying = ""false"", expected = ""разрешено""","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testBoundaryValues"
"","27","Example #1.5","","2026-04-13","passed","2026-04-13","","","",""
